TimeSeries ID,value_with_defaults remote_type=External (or VMs Different Project)
remote_type,External (or VMs Different Project)
Fri Aug 21 2026 18:46:00 GMT+0200 (Central European Summer Time),0
Fri Aug 21 2026 18:47:00 GMT+0200 (Central European Summer Time),0
Fri Aug 21 2026 18:48:00 GMT+0200 (Central European Summer Time),0
Fri Aug 21 2026 18:49:00 GMT+0200 (Central European Summer Time),0.13333333333333333
Fri Aug 21 2026 18:50:00 GMT+0200 (Central European Summer Time),0
Fri Aug 21 2026 18:51:00 GMT+0200 (Central European Summer Time),0.2
Fri Aug 21 2026 18:52:00 GMT+0200 (Central European Summer Time),0
Fri Aug 21 2026 18:53:00 GMT+0200 (Central European Summer Time),0
Fri Aug 21 2026 18:54:00 GMT+0200 (Central European Summer Time),0
Fri Aug 21 2026 18:55:00 GMT+0200 (Central European Summer Time),0.13333333333333333
Fri Aug 21 2026 18:56:00 GMT+0200 (Central European Summer Time),0
Fri Aug 21 2026 18:57:00 GMT+0200 (Central European Summer Time),0
Fri Aug 21 2026 18:58:00 GMT+0200 (Central European Summer Time),0
Fri Aug 21 2026 18:59:00 GMT+0200 (Central European Summer Time),0
Fri Aug 21 2026 19:00:00 GMT+0200 (Central European Summer Time),0
Fri Aug 21 2026 19:01:00 GMT+0200 (Central European Summer Time),0
Fri Aug 21 2026 19:02:00 GMT+0200 (Central European Summer Time),0
Fri Aug 21 2026 19:03:00 GMT+0200 (Central European Summer Time),0
Fri Aug 21 2026 19:04:00 GMT+0200 (Central European Summer Time),0
Fri Aug 21 2026 19:05:00 GMT+0200 (Central European Summer Time),0
Fri Aug 21 2026 19:06:00 GMT+0200 (Central European Summer Time),0
Fri Aug 21 2026 19:07:00 GMT+0200 (Central European Summer Time),0
Fri Aug 21 2026 19:08:00 GMT+0200 (Central European Summer Time),0
Fri Aug 21 2026 19:09:00 GMT+0200 (Central European Summer Time),0
Fri Aug 21 2026 19:10:00 GMT+0200 (Central European Summer Time),0
Fri Aug 21 2026 19:11:00 GMT+0200 (Central European Summer Time),0
Fri Aug 21 2026 19:12:00 GMT+0200 (Central European Summer Time),0.13333333333333333
Fri Aug 21 2026 19:13:00 GMT+0200 (Central European Summer Time),0
Fri Aug 21 2026 19:14:00 GMT+0200 (Central European Summer Time),0
Fri Aug 21 2026 19:15:00 GMT+0200 (Central European Summer Time),0
Fri Aug 21 2026 19:16:00 GMT+0200 (Central European Summer Time),0
Fri Aug 21 2026 19:17:00 GMT+0200 (Central European Summer Time),0
Fri Aug 21 2026 19:18:00 GMT+0200 (Central European Summer Time),0
Fri Aug 21 2026 19:19:00 GMT+0200 (Central European Summer Time),0
Fri Aug 21 2026 19:20:00 GMT+0200 (Central European Summer Time),0
Fri Aug 21 2026 19:21:00 GMT+0200 (Central European Summer Time),0
Fri Aug 21 2026 19:22:00 GMT+0200 (Central European Summer Time),0
Fri Aug 21 2026 19:23:00 GMT+0200 (Central European Summer Time),0
Fri Aug 21 2026 19:24:00 GMT+0200 (Central European Summer Time),0
Fri Aug 21 2026 19:25:00 GMT+0200 (Central European Summer Time),0
Fri Aug 21 2026 19:26:00 GMT+0200 (Central European Summer Time),0
Fri Aug 21 2026 19:27:00 GMT+0200 (Central European Summer Time),0
Fri Aug 21 2026 19:28:00 GMT+0200 (Central European Summer Time),0
Fri Aug 21 2026 19:29:00 GMT+0200 (Central European Summer Time),0.13333333333333333
