algoritam,N,n_seed,trajanje_s,propusnost,eval_mean,eval_std,speedup,efikasnost
PPO,0,2,144.6,548.0,500.0,0.0,nan,nan
PPO,1,2,136.5,542.7,500.0,0.0,1.000,1.000
PPO,2,2,108.0,692.6,500.0,0.0,1.264,0.632
PPO,4,2,88.2,809.5,500.0,0.0,1.548,0.387
PPO,8,2,86.5,878.5,500.0,0.0,1.579,0.197
PPO,16,2,97.2,881.2,500.0,0.0,1.404,0.088
APPO,1,2,280.4,1168.7,442.6,56.1,1.000,1.000
APPO,2,2,144.2,2321.9,417.3,4.0,1.944,0.972
APPO,4,4,79.5,4422.5,448.1,60.5,3.529,0.882
APPO,8,4,53.4,6920.9,473.1,30.2,5.255,0.657
APPO,16,2,46.0,8555.5,356.8,202.5,6.098,0.381
DQN,1,2,495.6,207.4,101.0,5.7,1.000,1.000
DQN,2,2,281.0,370.7,320.0,254.6,1.763,0.882
DQN,4,4,173.4,614.7,183.6,216.9,2.859,0.715
DQN,8,4,121.2,921.9,460.9,78.1,4.090,0.511
DQN,16,2,94.5,1202.6,162.4,31.2,5.244,0.328
